Lap,1 Max VERSTAPPEN,MV Laptimes (s),14 Fernando ALONSO,FA Laptimes (s),31 Esteban OCON,EO Laptime (s),,,Delta (1-14),Delta(14-31),Delta (1-31)
1,1 1:24.238,84.238,1 1:25.527,85.527,1 1:26.639,86.639,,,1.289,1.112,2.401
2,2 1:19.367,79.367,2 1:19.646,79.646,2 1:20.301,80.301,,,1.568,1.767,3.335
3,3 1:19.074,79.074,3 1:19.113,79.113,3 1:19.704,79.704,,,1.607,2.358,3.965
4,4 1:18.129,78.129,4 1:18.776,78.776,4 1:19.314,79.314,,,2.254,2.896,5.150
5,5 1:18.019,78.019,5 1:17.939,77.939,5 1:19.041,79.041,,,2.174,3.998,6.172
6,6 1:17.640,77.640,6 1:17.952,77.952,6 1:18.731,78.731,,,2.486,4.777,7.263
7,7 1:17.633,77.633,7 1:17.505,77.505,7 1:18.782,78.782,,,2.358,6.054,8.412
8,8 1:17.397,77.397,8 1:17.391,77.391,8 1:18.533,78.533,,,2.352,7.196,9.548
9,9 1:17.031,77.031,9 1:17.783,77.783,9 1:18.594,78.594,,,3.104,8.007,11.111
10,10 1:17.084,77.084,10 1:17.324,77.324,10 1:18.460,78.460,,,3.344,9.143,12.487
11,11 1:16.858,76.858,11 1:17.249,77.249,11 1:18.271,78.271,,,3.735,10.165,13.900
12,12 1:16.993,76.993,12 1:17.588,77.588,12 1:18.515,78.515,,,4.330,11.092,15.422
13,13 1:17.434,77.434,13 1:18.443,78.443,13 1:18.025,78.025,,,5.339,10.674,16.013
14,14 1:17.065,77.065,14 1:17.508,77.508,14 1:18.055,78.055,,,5.782,11.221,17.003
15,15 1:17.079,77.079,15 1:17.444,77.444,15 1:18.018,78.018,,,6.147,11.795,17.942
16,16 1:16.824,76.824,16 1:17.170,77.170,16 1:17.948,77.948,,,6.493,12.573,19.066
17,17 1:16.860,76.860,17 1:17.699,77.699,17 1:18.372,78.372,,,7.332,13.246,20.578
18,18 1:16.712,76.712,18 1:17.528,77.528,18 1:18.220,78.220,,,8.148,13.938,22.086
19,19 1:16.823,76.823,19 1:17.258,77.258,19 1:18.074,78.074,,,8.583,14.754,23.337
20,20 1:17.214,77.214,20 1:17.130,77.130,20 1:18.087,78.087,,,8.499,15.711,24.210
21,21 1:16.803,76.803,21 1:17.664,77.664,21 1:18.161,78.161,,,9.360,16.208,25.568
22,22 1:16.659,76.659,22 1:17.947,77.947,22 1:18.057,78.057,,,10.648,16.318,26.966
23,23 1:16.604,76.604,23 1:17.272,77.272,23 1:17.873,77.873,,,11.316,16.919,28.235
24,24 1:16.798,76.798,24 1:17.285,77.285,24 1:17.498,77.498,,,11.803,17.132,28.935
25,25 1:17.183,77.183,25 1:17.182,77.182,25 1:17.451,77.451,,,11.802,17.401,29.203
26,26 1:17.212,77.212,26 1:17.141,77.141,26 1:17.433,77.433,,,11.731,17.693,29.424
27,27 1:17.259,77.259,27 1:17.228,77.228,27 1:17.145,77.145,,,11.700,17.610,29.310
28,28 1:17.770,77.770,28 1:17.562,77.562,28 1:16.938,76.938,,,11.492,16.986,28.478
29,29 1:18.001,78.001,29 1:17.111,77.111,29 1:17.179,77.179,,,10.602,17.054,27.656
30,30 1:18.160,78.160,30 1:16.965,76.965,30 1:17.334,77.334,,,9.407,17.423,26.830
31,31 1:18.741,78.741,31 1:17.259,77.259,31 1:17.331,77.331,,,7.925,17.495,25.420
32,32 1:18.816,78.816,32 1:17.637,77.637,32 P 1:34.668,94.668,,,6.746,34.526,41.272
33,33 1:18.946,78.946,33 1:17.816,77.816,33 1:19.289,79.289,,,5.616,35.999,41.615
34,34 1:18.044,78.044,34 1:19.297,79.297,34 1:16.950,76.950,,,6.869,33.652,40.521
35,35 1:18.024,78.024,35 1:18.634,78.634,35 1:17.095,77.095,,,7.479,32.113,39.592
36,36 1:17.974,77.974,36 1:17.876,77.876,36 1:17.304,77.304,,,7.381,31.541,38.922
37,37 1:17.273,77.273,37 1:17.974,77.974,37 1:17.140,77.140,,,8.082,30.707,38.789
38,38 1:17.122,77.122,38 1:17.141,77.141,38 1:17.048,77.048,,,8.101,30.614,38.715
39,39 1:16.966,76.966,39 1:17.705,77.705,39 1:17.169,77.169,,,8.840,30.078,38.918
40,40 1:17.161,77.161,40 1:17.630,77.630,40 1:17.025,77.025,,,9.309,29.473,38.782
41,41 1:16.944,76.944,41 1:17.016,77.016,41 1:16.528,76.528,,,9.381,28.985,38.366
42,42 1:16.800,76.800,42 1:16.719,76.719,42 1:17.010,77.010,,,9.300,29.276,38.576
43,43 1:16.963,76.963,43 1:16.674,76.674,43 1:17.002,77.002,,,9.011,29.604,38.615
44,44 1:16.722,76.722,44 1:16.919,76.919,44 1:17.033,77.033,,,9.208,29.718,38.926
45,45 1:16.701,76.701,45 1:16.862,76.862,45 1:17.271,77.271,,,9.369,30.127,39.496
46,46 1:17.075,77.075,46 1:17.114,77.114,46 1:16.775,76.775,,,9.408,29.788,39.196
47,47 1:17.160,77.160,47 1:17.108,77.108,47 1:16.962,76.962,,,9.356,29.642,38.998
48,48 1:17.065,77.065,48 1:16.931,76.931,48 1:16.968,76.968,,,9.222,29.679,38.901
49,49 1:17.428,77.428,49 1:16.992,76.992,49 1:17.090,77.090,,,8.786,29.777,38.563
50,50 1:17.314,77.314,50 1:17.408,77.408,50 1:17.836,77.836,,,8.880,30.205,39.085
51,51 1:17.427,77.427,51 1:19.991,79.991,51 1:19.453,79.453,,,11.444,29.667,41.111
52,52 1:24.046,84.046,52 1:24.967,84.967,52 1:26.990,86.990,,,12.365,31.690,44.055
53,53 1:29.919,89.919,53 1:30.862,90.862,53 1:29.909,89.909,,,13.308,30.737,44.045
54,54 1:38.946,98.946,54 P 1:50.311,110.311,54 P 1:54.547,114.547,,,24.673,34.973,59.646
55,55 P 2:10.567,130.567,55 P 2:06.635,126.635,55 1:42.379,102.379,,,20.741,10.717,31.458
56,56 1:46.131,106.131,56 1:48.531,108.531,56 1:41.755,101.755,,,23.141,3.941,27.082
57,57 1:43.464,103.464,57 1:42.581,102.581,57 1:42.554,102.554,,,22.258,3.914,26.172
58,58 1:42.808,102.808,58 1:41.267,101.267,58 1:43.729,103.729,,,20.717,6.376,27.093
59,59 1:43.791,103.791,59 1:40.897,100.897,59 1:45.002,105.002,,,17.823,10.481,28.304
60,60 1:41.540,101.540,60 1:40.638,100.638,60 1:42.527,102.527,,,16.921,12.370,29.291
61,61 1:40.797,100.797,61 1:42.727,102.727,61 1:42.630,102.630,,,18.851,12.273,31.124
62,62 1:39.272,99.272,62 1:40.467,100.467,62 1:42.139,102.139,,,20.046,13.945,33.991
63,63 1:39.610,99.610,63 1:39.671,99.671,63 1:41.123,101.123,,,20.107,15.397,35.504
64,64 1:38.364,98.364,64 1:38.135,98.135,64 1:40.375,100.375,,,19.878,17.637,37.515
65,65 1:37.160,97.160,65 1:37.640,97.640,65 1:37.029,97.029,,,20.358,17.026,37.384
66,66 1:34.035,94.035,66 1:36.332,96.332,66 1:35.456,95.456,,,22.655,16.150,38.805
67,67 1:32.921,92.921,67 1:33.205,93.205,67 1:34.457,94.457,,,22.939,17.402,40.341
68,68 1:33.659,93.659,68 1:32.841,92.841,68 1:33.484,93.484,,,22.121,18.045,40.166
69,69 1:31.607,91.607,69 1:33.864,93.864,69 1:32.501,92.501,,,24.378,16.682,41.060
70,70 1:31.244,91.244,70 1:31.230,91.230,70 1:30.300,90.300,,,24.364,15.752,40.116
71,71 1:30.363,90.363,71 1:31.057,91.057,71 1:30.027,90.027,,,25.058,14.722,39.780
72,72 1:30.402,90.402,72 1:29.419,89.419,72 1:29.541,89.541,,,24.075,14.844,38.919
73,73 1:28.386,88.386,73 1:30.346,90.346,73 1:27.666,87.666,,,26.035,12.164,38.199
74,74 1:26.864,86.864,74 1:27.245,87.245,74 1:26.712,86.712,,,26.416,11.631,38.047
75,75 1:25.518,85.518,75 1:25.700,85.700,75 1:25.133,85.133,,,26.598,11.064,37.662
76,76 1:25.316,85.316,76 1:26.931,86.931,76 1:24.834,84.834,,,28.213,8.967,37.180
77,77 1:25.460,85.460,77 1:24.701,84.701,77 1:26.240,86.240,,,27.454,10.506,37.960
78,78 1:25.201,85.201,78 1:25.668,85.668,78 1:24.231,84.231,,,27.921,9.069,36.990
